Station,Distance_Km,Latitude,Longitude,Elevation_m,Danger Level_cm,Lag Time_hours,RiverWidth_Lowflow_m,RiverWidth_Highflow_m
Myitkyina,0,25.39,97.4,145,1200,0,400,600
Mandalay,559.7,21.98,96.06,76,1260,138,800,1200
Sagaing,573.9,21.88,95.99,72,1150,3,800,1200
Myinmu,619.5,21.92,95.59,68,1150,11,900,1100
Pakokku,708.8,21.34,95.1,62,2150,22,1500,2500
NyaungOo,738.5,21.18,94.87,60,2120,0,1200,2000
Chauk,777.8,20.89,94.81,55,1450,19,1200,2000
Minbu,883.8,20.17,94.88,52,1700,4,1000,1500
Magway,888.53,20.15,94.92,50,1700,0,1000,1500
Aunglan,991.53,19.36,95.21,45,2550,11,800,1200
Pyay,1056.63,18.82,95.21,35,2900,8,800,1200
Seiktha,1114.83,18.42,95.19,22,1200,12,1500,2500
Hinthada,1211.23,17.64,95.48,14,1342,18,1500,2500
Zalun,1242.23,17.48,95.56,11,1160,4,1800,2600
